Constituency Code,Constituency,選區,Candidate Number,Name of Candidate,候選人姓名,No. of Votes Received,Result
A01,Chung Wan,中環,1,WAI PUI SHUEN,衛珮璇,800,0
A01,Chung Wan,中環,2,HUI CHI FUNG,許智峯,951,1
A01,Chung Wan,中環,3,SO HO,蘇浩,96,0
A02,Mid Levels East,半山東,1,CHEUNG YICK HUNG JACKIE,張翼雄,1432,1
A02,Mid Levels East,半山東,2,CHAN PUI YI,陳佩怡,108,0
A02,Mid Levels East,半山東,3,TANG WAI CHUNG WILHEIM,鄧偉中,927,0
A03,Castle Road,衛城,1,PAK FU HUNG,白富鴻,881,0
A03,Castle Road,衛城,2,CHENG LAI KING,鄭麗琼,1291,1
A04,Peak,山頂,1,CHAN TANYA,陳淑莊,820,0
A04,Peak,山頂,2,CHAN HO LIM JOSEPH,陳浩濂,1505,1
A05,University,大學,1,CHAN CHIT KWAI,陳捷貴,2169,1
A05,University,大學,2,TSUI KIT SANG,徐傑生,530,0
A06,Kennedy Town & Mount Davis,堅摩,1,CHAN HOK FUNG,陳學鋒,1721,1
A06,Kennedy Town & Mount Davis,堅摩,2,NG HOI YAN BONNIE,伍凱欣,1468,0
A07,Kwun Lung,觀龍,1,IP KWOK HIM,葉國謙,2723,1
A07,Kwun Lung,觀龍,2,LEUNG KWOK HUNG,梁國雄,973,0
A08,Sai Wan,西環,1,CHONG WING FAI WINFIELD,莊榮輝,1631,0
A08,Sai Wan,西環,2,CHEUNG KWOK KWAN,張國鈞,1655,1
A09,Belcher,寶翠,1,LAM WAI WING MALCOLM,林懷榮,1968,1
A09,Belcher,寶翠,2,WONG KA LOK WILLIAM,黃家樂,201,0
A09,Belcher,寶翠,3,YEUNG SUI YIN,楊浩然,1935,0
A10,Shek Tong Tsui,石塘咀,1,CHING MING TAT,程明達,705,0
A10,Shek Tong Tsui,石塘咀,2,CHAN CHOI HI,陳財喜,1871,1
A11,Sai Ying Pun,西營盤,1,YUEN MAN HO,袁文浩,189,0
A11,Sai Ying Pun,西營盤,2,LO YEE HANG,盧懿杏,1875,1
A11,Sai Ying Pun,西營盤,3,YONG CHAK CHEONG,容澤昌,711,0
A12,Sheung Wan,上環,1,YIM TAT MING,嚴達明,270,0
A12,Sheung Wan,上環,2,CHAN YIN HO,陳賢豪,910,0
A12,Sheung Wan,上環,3,KAM NAI WAI,甘乃威,1450,1
A13,Tung Wah,東華,1,HO CHUN KI FREDERICK,何俊麒,907,0
A13,Tung Wah,東華,2,LEE SIU CHEONG,李肇昌,125,0
A13,Tung Wah,東華,3,SIU KA YI,蕭嘉怡,1168,1
A14,Centre Street,正街,1,WONG HO YIN,王浩賢,1199,0
A14,Centre Street,正街,2,LEE CHI HANG SIDNEY,李志恒,1739,1
A15,Water Street,水街,1,YEUNG HOK MING,楊學明,1241,0
A15,Water Street,水街,2,WONG KIN SHING,黃堅成,1353,1
A15,Water Street,水街,3,TAI CHEUK YIN LESLIE SPENCER,戴卓賢,463,0
B01,Hennessy,軒尼詩,1,WONG KIT NING CATHERINE,王潔玲,187,0
B01,Hennessy,軒尼詩,2,CHENG KI KIN,鄭其建,1625,1
B02,Oi Kwan,愛群,1,LI KIN YIN,李建賢,730,0
B02,Oi Kwan,愛群,2,TANG KING YUNG ANNA,鄭琴淵,1552,1
B03,Canal Road,鵝頸,,CHUNG KA MAN JACQUELINE,鍾嘉敏,0,2
B04,Causeway Bay,銅鑼灣,1,FONG YIK LAM,方奕霖,369,0
B04,Causeway Bay,銅鑼灣,2,KONG KWOK CHU,鄺國柱,80,0
B04,Causeway Bay,銅鑼灣,3,NG YUEN TING YOLANDA,伍婉婷,1350,1
B05,Tai Hang,大坑,1,SHUM SEE HOI RICHARD,沈四海,43,0
B05,Tai Hang,大坑,2,WONG CHOR FUNG,黃楚峰,1266,1
