Constituency Code,Constituency,選區,Candidate Number,Name of Candidate,候選人姓名,No. of Votes Received,Result
H23,CHOI WAN WEST,彩雲西,2,TAM MEI PO,譚美普,2682,1
H24,CHI CHOI,池彩,1,WU CHI KIN,胡志健,2083,1
H24,CHI CHOI,池彩,2,HO YIN FAI,何賢輝,2078,0
H25,CHOI HUNG,彩虹,1,LEUNG TAT POR,梁達波,1639,0
H25,CHOI HUNG,彩虹,2,MOK KIN WING,莫健榮,2898,1
J01,KWUN TONG CENTRAL,觀塘中心,,CHAN WAH YU NELSON,陳華裕,0,2
J02,KOWLOON BAY,九龍灣,,POON YAM WAI CHUN WINNIE,潘任惠珍,0,2
J03,KAI YIP,啓業,1,LAM SING,林誠,1826,0
J03,KAI YIP,啓業,2,AU YEUNG KWAN NOK,歐陽均諾,2128,1
J04,LAI CHING,麗晶,1,POON CHUN YUEN,潘進源,2682,0
J04,LAI CHING,麗晶,2,BUX SHEIK ANTHONY,BUX SHEIK ANTHONY,3060,1
J05,PING SHEK,坪石,,CHAN CHUN KIT,陳俊傑,0,2
J06,SHEUNG CHOI,雙彩,,TAM SIU CHEUK,譚肇卓,0,2
J07,JORDAN VALLEY,佐敦谷,1,WONG WAI TAG,黃偉達,1400,0
J07,JORDAN VALLEY,佐敦谷,2,NGAN MAN YU,顏汶羽,2638,1
J08,SHUN TIN,順天,1,MOK KIN SHING,莫建成,2864,1
J08,SHUN TIN,順天,2,KWOK BIT CHUN,郭必錚,2764,0
J09,SHEUNG SHUN,雙順,,FU PIK CHUN,符碧珍,0,2
J10,ON LEE,安利,1,CHOY CHAK HUNG,蔡澤鴻,2128,1
J10,ON LEE,安利,2,LEUNG TANG FUNG,梁騰丰,1665,0
J10,ON LEE,安利,3,CHO KAI FAI,曹啓暉,92,0
J11,PO TAT,寶達,1,TAM HO LAM,譚灝琳,1042,0
J11,PO TAT,寶達,2,HUNG KAM IN,洪錦鉉,3993,1
J12,SAU MAU PING NORTH,秀茂坪北,,WONG CHUN PING,黃春平,0,2
J13,HIU LAI,曉麗,1,FUNG KWOK KEUNG BONHOEFFER,馮國強,2284,0
J13,HIU LAI,曉麗,2,SO LAI CHUN,蘇麗珍,3466,1
J14,SAU MAU PING SOUTH,秀茂坪南,1,CHAN YIU HUNG JIMMY,陳耀雄,2418,1
J14,SAU MAU PING SOUTH,秀茂坪南,2,CHENG KWOK CHUN,鄭國俊,668,0
J14,SAU MAU PING SOUTH,秀茂坪南,3,KAI MING WAH,計明華,340,0
J15,SAU MAU PING CENTRAL,秀茂坪中,,CHEUNG PUI KONG,張培剛,0,2
J16,HING TIN,興田,1,CHAN MAN KIN,陳汶堅,2424,1
J16,HING TIN,興田,2,LO CHING,羅靜,2125,0
J17,LAM TIN,藍田,1,KAN MING TUNG,簡銘東,3215,1
J17,LAM TIN,藍田,2,YAU MEI PO,游美寶,1285,0
J18,KWONG TAK,廣德,,OR CHONG SHING WILSON,柯創盛,0,2
J19,PING TIN,平田,1,YIU PAK LEUNG,姚柏良,3404,1
J19,PING TIN,平田,2,NG CHI FAI,吳志輝,988,0
J20,PAK NGA,栢雅,1,YU SUI SANG,余瑞生,138,0
J20,PAK NGA,栢雅,2,HO KAI MING,何啟明,2666,1
J20,PAK NGA,栢雅,3,CHAN YU MING,陳宇明,1528,0
J21,YAU TONG EAST,油塘東,,CHEUNG KI TANG,張琪騰,0,2
J22,YAU LAI,油麗,1,CHENG WAH TUNG FRANCIS,鄭華東,318,0
J22,YAU LAI,油麗,2,LAI SHU HO PATRICK,黎樹濠,1914,1
J22,YAU LAI,油麗,3,HON KA MING,韓家銘,1264,0
J23,CHUI CHEUNG,翠翔,1,TSE SUK CHUN,謝淑珍,2918,1
J23,CHUI CHEUNG,翠翔,2,WONG KAI SAN,黃啟燊,2654,0
J24,YAU TONG WEST,油塘西,,LUI TUNG HAI,呂東孩,0,2
J25,LAGUNA CITY,麗港城,1,TANG WING CHUN,鄧咏駿,4091,1
J25,LAGUNA CITY,麗港城,2,TAM MAN HO JEREMY JANSEN,譚文豪,3243,0
J26,KING TIN,景田,1,CHEUNG SHUN WAH,張順華,2791,1
J26,KING TIN,景田,2,TONG DICK KAN,唐廸勤,2170,0
J27,TSUI PING,翠屏,1,CHENG KEUNG FUNG,鄭強峰,3457,1
J27,TSUI PING,翠屏,2,LAM HO CHUN CAROL,林可珍,1134,0
J28,PO LOK,寶樂,1,CHENG KENG IEONG,鄭景陽,2097,1
J28,PO LOK,寶樂,2,LAU TING ON,劉定安,1717,0
